emp_no,first_name,second_name,birth_date,wage,hire_date
1673,Christy,Perkins,1991-03-30,36302.68,2018-08-04
1674,Lisa,Pearson,1988-01-06,52929.16,2020-04-07
1675,Joseph,Armstrong,1999-11-23,8083.84,2021-04-06
1676,Lisa,Gray,1998-07-18,6954.25,2018-11-13
1677,Tyrone,Goodwin,1988-10-11,41980.87,2019-11-12
1678,Margaret,Garcia,1996-02-29,30335.27,2018-06-24
1679,Jorge,Rodriguez,1983-01-29,50883.4,2021-07-06
1680,Ashley,Johnson,1998-10-21,35606.07,2020-08-30
1681,Tina,Hernandez,1990-03-24,30058.15,2021-01-11
1682,Daniel,Moore,1997-12-13,59872.12,2020-12-12
1683,Jason,Oliver,1982-09-02,89991.36,2021-09-24
1684,Tony,Porter,1980-10-02,94757.51,2018-03-22
1685,Nicholas,Fuller,1988-03-20,8045.44,2019-02-09
1686,Karen,Morris,1990-06-14,71802.35,2021-02-03
1687,Loretta,Taylor,1977-08-13,67770.4,2020-06-13
1688,Wesley,Taylor,1983-05-27,61378.88,2018-05-23
1689,David,Smith,1995-08-26,46054.24,2021-05-17
1690,Bryan,Wagner,1981-10-13,73098.39,2019-04-13
1691,Sandra,Knight,1998-05-25,41887.38,2018-04-03
1692,Sarah,White,1993-03-08,98565.41,2018-10-23
1693,Joel,Johnson,1983-08-24,66927.83,2020-11-19
1694,James,Rodriguez,1983-07-08,18889.72,2021-09-10
1695,Heather,Smith,1983-06-08,89882.08,2020-12-19
1696,Troy,Rice,1997-01-24,60388.56,2020-06-07
1697,Sherri,Turner,1993-09-04,10117.15,2021-03-18
1698,Mr.,Patrick,1979-06-06,1997.46,2019-09-25
1699,Erica,Hanson,1988-10-14,12595.57,2020-08-19
1700,Sonya,Davis,1978-05-13,43681.24,2019-07-26
1701,Amanda,Brown,1990-11-07,85327.68,2021-01-28
1702,Dawn,Ramirez,1981-06-20,12985.46,2019-04-16
1703,Renee,Ortiz,1979-01-11,95102.94,2019-09-01
1704,Erika,Miller,1982-02-04,40371.6,2020-08-21
1705,Harold,Lopez,1994-09-23,12249.07,2021-12-07
1706,Kelly,Matthews,1977-03-31,30582.56,2020-02-10
1707,Michael,Harrington,1986-09-06,7095.87,2020-02-08
1708,Elizabeth,Thomas,1992-02-25,91950.27,2021-01-30
1709,Elizabeth,Miller,1993-02-21,51164.04,2021-09-07
1710,Jason,Schroeder,1992-01-06,38736.34,2021-11-20
1711,Nicole,Andrade,1989-03-22,49596.1,2021-12-30
1712,James,Aguilar,1999-06-22,25701.13,2019-06-12
1713,Susan,Garcia,1986-09-13,75781.81,2019-04-09
1714,Richard,Gonzalez,1980-12-24,2833.85,2018-05-02
1715,Daniel,Martinez,1983-10-08,78728.78,2020-07-23
1716,Sara,Wilson,1987-03-15,67385.31,2021-06-27
1717,Rebekah,Kim,1998-06-14,54087.29,2020-02-16
1718,Olivia,Lopez,1978-11-26,15700.57,2020-10-14
1719,Kayla,Brooks,1990-06-18,86429.97,2020-03-17
1720,Kathleen,Martinez,1994-02-15,31022.89,2018-07-11
1721,Michael,Carrillo,1981-03-09,27555.12,2019-08-03
1722,Vernon,Steele,1996-03-17,61682.86,2019-05-06
1723,Darren,Hernandez,1981-10-11,22220.19,2020-06-09
1724,Billy,Nixon,1991-10-21,23114.74,2021-09-24
1725,Tammy,Cantrell,1999-10-15,54384.39,2019-08-25
1726,Laura,Lamb,1990-11-18,59044.89,2021-01-13
1727,Shaun,Owens,1981-08-24,88676.46,2019-01-22
1728,Christina,Bender,1981-03-28,77553.92,2019-09-10
1729,Matthew,Little,1993-04-23,25703.19,2018-02-02
1730,Cindy,Bell,1995-10-10,14079.7,2018-09-10
1731,Mandy,Klein,1984-01-09,72532.32,2019-06-19
1732,Mark,Martin,1992-09-24,8439.01,2020-07-12
1733,Joshua,Little,1996-08-23,47232.86,2021-05-20
1734,Samantha,Harding,1978-07-28,17996.58,2018-06-22
1735,Tony,Gross,1994-05-28,71270.35,2018-07-21
1736,Steven,Anderson,1982-04-24,71433.73,2021-12-21
1737,Susan,Ibarra,1997-11-22,2141.53,2020-09-08
1738,Heather,Sheppard,1985-01-15,5997.18,2019-10-03
1739,Kimberly,Smith,1991-08-28,23293.12,2018-11-09
1740,Gabriel,Parker,1994-12-24,14474.13,2020-03-25
1741,Alicia,Small,1982-08-24,40837.05,2020-09-13
1742,Richard,Mays,1979-11-05,70.27,2018-09-20
1743,Kaitlyn,Terrell,1985-09-09,83290.7,2018-03-17
1744,Jordan,Marquez,1996-09-28,25164.83,2021-03-12
1745,Stephanie,Santana,1996-08-28,63205.29,2021-10-31
1746,John,Miller,1992-09-05,61365.38,2020-06-13
1747,Thomas,Fitzgerald,1985-07-10,1610.81,2019-03-24
1748,Chelsea,Cook,1993-10-01,82562.5,2020-05-02
1749,Mark,Jacobs,1994-11-30,23362.37,2018-05-12
1750,Angela,Hammond,1977-03-08,81921.02,2018-10-25
1751,Joshua,Bright,1980-05-20,42932.95,2019-12-27
1752,Eric,Potts,1995-04-21,87997.49,2021-10-03
1753,John,Morgan,1993-03-09,57875.68,2019-08-19
1754,Stacy,Robertson,1980-01-20,6015.52,2021-03-05
1755,Ryan,Wright,1992-04-10,40175.27,2021-04-01
1756,Michele,Barnes,1983-07-05,13843.92,2021-11-20
1757,Cheryl,Jones,1979-06-23,61813.88,2020-10-14
1758,Elijah,Murphy,1979-01-21,63589.6,2021-01-03
1759,Malik,Reynolds,1980-01-16,55674.94,2019-07-28
1760,Jacob,Carter,1982-11-28,36912.08,2018-09-07
1761,Shannon,Martin,1993-06-15,24478.94,2018-07-31
1762,Dustin,Lee,1987-10-17,16939.12,2020-07-08
1763,Kathleen,Peterson,1981-11-16,75200.15,2019-08-07
1764,Mark,Bowen,1979-01-14,56133.09,2018-09-27
1765,Valerie,Norris,1979-06-13,49473.5,2021-08-31
1766,Terry,Jones,1992-03-26,11996.75,2021-10-22
1767,Shane,Oconnell,1995-04-29,36254.6,2019-07-28
1768,Kelly,Jackson,1996-07-03,81227.18,2018-02-28
1769,Judy,Keller,1982-03-15,55978.93,2018-01-27
1770,Angela,Crawford,1997-12-23,8158.05,2021-02-03
1771,Michelle,Garrett,1984-07-26,23766.1,2020-08-19
1772,Jeffery,Gonzalez,1980-10-17,42017.14,2019-01-08
1773,Hannah,Green,1986-03-01,5134.83,2021-08-22
1774,Samantha,Alexander,1996-03-02,62900.78,2021-10-01
1775,Raymond,Webb,1995-12-12,71109.06,2021-09-07
1776,Brian,Martinez,1979-11-06,41745.73,2021-09-11
1777,Melissa,Walsh,1986-10-10,80843.58,2019-08-28
1778,Shelia,Rivera,1979-10-31,18554.81,2019-11-24
1779,Karl,Glover,1985-11-12,65472.21,2020-10-31
1780,Brian,Hayes,1984-02-14,11639.12,2019-07-01
1781,Jennifer,Snyder,1982-12-09,58560.97,2018-11-25
1782,Daniel,Fry,1981-02-16,88089.93,2020-12-18
1783,Jermaine,Davenport,1993-10-17,95084.37,2021-05-10
1784,Kimberly,Harris,1990-05-10,85941.19,2021-08-18
1785,Kenneth,Kelly,1977-10-17,17752.62,2018-06-26
1786,Heather,Herman,1980-02-12,28269.61,2021-03-27
1787,Rebecca,Gibson,1995-05-17,74851.23,2021-12-28
1788,Michelle,Price,1997-04-08,57766.66,2021-06-06
1789,Tracy,Gonzalez,1987-07-05,13625.32,2021-03-28
1790,Aaron,Underwood,1994-04-22,27198.32,2020-06-14
1791,Richard,Day,1978-01-04,3443.0,2018-12-12
1792,Joshua,Roberts,1977-11-11,24837.23,2018-07-23
1793,Jason,Ortega,1984-02-06,67036.24,2019-06-29
1794,Theodore,Jimenez,1977-02-06,98008.09,2020-06-17
1795,Mrs.,Patricia,1988-11-11,28038.17,2019-01-19
1796,Stacy,White,1998-09-24,59286.75,2019-11-11
1797,Michael,Beasley,1993-12-05,94418.25,2018-05-04
1798,Patrick,Jones,1987-11-10,51020.45,2020-07-14
1799,Blake,Hall,1982-09-21,38557.71,2020-08-01
1800,Peter,Gonzalez,1996-09-24,64686.3,2020-09-16
1801,William,Garza,1991-02-07,21755.25,2021-08-15
1802,Cameron,Martinez,1998-02-25,95845.3,2018-10-26
1803,Anna,Campbell,1999-10-16,70619.92,2021-01-24
1804,Tyler,Curtis,1980-01-11,67127.75,2018-12-14
1805,David,Case,1986-10-15,39119.98,2019-03-20
1806,Joseph,Maddox,1988-08-31,9038.28,2021-09-20
1807,Phillip,Anderson,1992-07-27,17033.03,2018-07-13
1808,Lori,Scott,1984-10-24,66841.47,2021-06-10
1809,Jason,Grant,1985-10-23,88089.1,2021-11-30
1810,Olivia,Hess,1995-04-04,25625.45,2019-11-13
1811,Kristin,Davis,1982-07-14,23959.16,2020-09-16
1812,Lindsey,Marshall,1992-02-28,81394.82,2021-09-30
1813,Martin,Thompson,1984-05-09,60096.79,2019-12-26
1814,Isabella,Moon,1990-03-23,77738.28,2021-07-25
1815,Kathryn,Wright,1979-02-22,27833.7,2021-10-10
1816,Amanda,Rios,1983-07-17,65261.14,2021-07-05
1817,Victoria,Torres,1994-06-11,43292.77,2020-08-03
1818,Jennifer,Henry,1977-02-23,85534.68,2018-09-13
1819,Glenn,Huffman,1981-10-06,55538.2,2021-10-18
1820,Mrs.,Pamela,1994-07-27,58350.33,2019-11-21
1821,James,Jones,1983-11-07,50332.93,2019-11-19
1822,Terri,Mann,1988-07-06,31673.49,2021-05-10
1823,Robert,Mitchell,1992-11-21,6193.24,2018-01-19
1824,Shane,Freeman,1982-12-14,63942.48,2019-10-06
1825,Carrie,Webb,1977-06-15,65147.98,2018-07-12
1826,Michelle,Edwards,1998-07-11,96498.36,2020-11-15
1827,Justin,Strong,1990-04-26,38550.74,2020-06-14
1828,Michael,Hawkins,1979-10-31,23253.08,2018-08-10
1829,Randy,Andersen,1981-10-15,18726.11,2018-11-24
1830,James,Sanchez,1994-10-31,64388.29,2021-09-17
1831,Christina,Clark,1985-11-06,66662.59,2019-04-07
1832,Matthew,Walker,1992-10-24,21034.62,2020-12-22
1833,Sarah,Collins,1987-01-27,69421.81,2020-04-08
1834,Ryan,Santiago,1998-07-13,3418.58,2019-10-15
1835,William,Schmidt,1996-09-27,63554.79,2021-05-31
1836,Valerie,Perez,1988-05-23,71405.12,2019-09-06
1837,Raymond,Lynch,1992-06-18,84246.01,2018-01-28
1838,Monique,Jackson,1986-06-01,91360.95,2020-08-29
1839,Andrea,Fitzgerald,1979-12-12,79470.09,2018-01-01
1840,Stacie,Lyons,1998-11-09,47083.27,2019-03-31
1841,Rhonda,Perez,1982-08-22,84647.07,2018-03-01
1842,Heidi,Johnson,1981-10-19,26822.03,2019-06-14
1843,Brittany,Clay,1992-09-16,50831.61,2018-05-12
1844,Tracy,Walker,1999-08-29,61194.68,2019-10-05
1845,Jonathan,Steele,1982-10-09,75769.37,2021-04-02
1846,Eric,Solis,1977-10-20,13040.75,2020-10-29
1847,Belinda,Brown,1988-05-02,31278.75,2021-04-09
1848,Scott,Cabrera,1978-05-25,41581.14,2020-10-02
1849,Vanessa,Garcia,1983-12-17,74841.55,2019-02-18
1850,Sean,Frost,1982-12-20,24593.33,2020-04-10
1851,David,Griffin,1989-10-11,30109.57,2019-01-15
1852,Justin,Ramos,1993-01-21,82866.04,2021-05-08
1853,Jordan,York,1995-04-21,51488.76,2018-03-08
1854,Nicole,Munoz,1988-08-11,98625.75,2020-06-22
1855,Dr.,Lori,1989-09-08,54589.52,2020-02-12
1856,John,Singleton,1993-10-15,77143.15,2019-11-27
1857,Amber,Turner,1983-09-14,53881.5,2019-06-23
1858,Emily,Yates,1987-01-16,21102.32,2019-09-22
1859,Steven,Powell,1993-05-25,50585.89,2020-06-25
1860,Valerie,Miller,1991-04-30,26634.38,2020-03-02
1861,Nicolas,Miller,1985-12-25,54794.0,2020-05-07
1862,Laurie,Bradley,1997-04-27,12901.13,2021-05-06
1863,Anne,Ward,1987-07-31,89823.07,2021-12-25
1864,Dr.,Samantha,1987-02-16,49973.95,2021-11-27
1865,Michael,White,1999-11-17,95760.13,2020-03-07
1866,Richard,Watkins,1979-06-18,77115.1,2018-03-12
1867,Diane,Thompson,1984-09-24,58010.08,2020-03-19
1868,John,Atkinson,1997-12-01,64906.6,2018-03-11
1869,Kimberly,Moore,1980-04-12,51657.28,2021-07-12
1870,Kaitlyn,Reyes,1991-10-21,1930.3,2018-02-24
1871,Roberto,Cook,1983-02-12,94124.68,2021-11-04
1872,Catherine,Moore,1978-08-06,51416.72,2020-01-28
1873,Lisa,Porter,1983-05-02,25110.65,2018-11-22
1874,Alexandra,Anthony,1981-05-19,68052.26,2021-09-28
1875,Heather,Brown,1988-09-24,89274.67,2019-12-12
1876,Theresa,Carpenter,1983-04-08,4383.89,2018-04-29
1877,Kevin,Miller,1992-07-26,41289.06,2019-02-12
1878,Justin,Watson,1977-06-01,55969.22,2020-07-25
1879,Steven,Hernandez,1983-02-17,33685.02,2018-11-12
1880,Anita,Howard,1986-10-07,81947.01,2018-02-15
1881,Erin,Cruz,1996-01-11,80810.11,2021-06-02
1882,Rachel,Johnson,1993-07-12,37894.67,2018-01-01
1883,Michael,Blackburn,1982-01-08,74039.3,2021-03-17
1884,Gregory,Flores,1982-08-17,25218.95,2018-05-16
1885,Joseph,Ellison,1993-03-30,55773.51,2021-03-30
1886,Nicole,Smith,1979-03-28,17541.7,2018-03-17
1887,Mrs.,Barbara,1985-12-08,89506.86,2018-06-30
1888,Richard,Patterson,1993-09-18,34174.0,2019-08-03
1889,Jessica,Dickson,1979-10-03,63273.0,2019-04-14
1890,Morgan,Jones,1988-10-18,85006.07,2020-10-09
1891,Lawrence,Hensley,1991-10-29,56080.97,2021-02-10
1892,Lawrence,Morrow,1991-10-23,84977.83,2018-04-22
1893,Allison,Davenport,1980-03-13,15223.85,2019-01-26
1894,Timothy,Floyd,1979-05-06,42295.42,2018-05-30
1895,Elizabeth,Patton,1994-01-12,504.2,2019-05-12
1896,Shawn,Ayala,1986-08-31,10155.44,2019-04-12
1897,John,Bell,1980-04-19,39045.24,2020-10-30
1898,Victoria,Obrien,1999-06-19,19374.54,2019-09-20
1899,Vincent,Gibson,1998-05-02,27886.48,2020-10-07
1900,Jerry,Johnson,1977-07-24,96137.58,2021-01-08
1901,Matthew,Ortiz,1987-04-27,78979.72,2018-02-15
1902,William,Randolph,1984-06-12,77713.86,2020-08-04
1903,Dr.,Mary,1999-04-24,515.67,2018-06-15
1904,Megan,Kemp,1980-09-15,20059.68,2018-05-27
1905,Jeremy,Riley,1989-06-15,66896.18,2021-03-01
1906,Erica,Patrick,1986-11-08,63885.84,2018-12-09
1907,Phillip,Clark,1992-01-30,484.14,2021-05-08
1908,Cynthia,Jacobs,1998-03-17,54306.14,2021-03-13
1909,Lisa,Valdez,1979-09-27,3347.21,2020-06-08
1910,Brittany,Griffin,1989-02-12,87529.75,2021-02-19
1911,Beth,Russo,1994-05-21,18001.47,2019-04-26
1912,Sarah,Potter,1996-06-08,96316.95,2020-03-26
1913,Erin,Valenzuela,1992-11-05,9095.77,2021-01-26
1914,Jacob,Stanley,1988-06-11,96921.34,2021-01-21
1915,Katie,May,1984-07-29,59769.17,2018-11-20
1916,Heather,Garner,1994-05-04,22854.11,2019-12-06
1917,Christopher,Harding,1985-04-05,24326.43,2020-11-25
1918,Yolanda,White,1990-06-26,27794.18,2019-01-21
1919,Todd,Barker,1988-10-14,98688.47,2020-03-01
1920,Todd,Garcia,1987-07-12,42636.15,2020-06-02
1921,John,Boyd,1989-07-27,50145.66,2021-07-19
1922,Mrs.,Jessica,1995-02-22,78187.38,2020-10-06
1923,Aaron,Robinson,1979-09-23,25923.85,2020-08-19
1924,Jeremy,Lozano,1978-08-28,67731.29,2018-01-19
1925,Sarah,Erickson,1981-09-22,48011.94,2020-07-06
1926,Megan,Gonzalez,1997-05-09,60171.95,2020-11-06
1927,Doris,Nguyen,1989-12-05,16519.26,2019-12-27
1928,Jimmy,Proctor,1985-04-25,34131.91,2018-04-17
1929,Ann,Gomez,1985-12-10,29798.05,2021-12-20
1930,Joanna,Burns,1982-11-29,28060.21,2021-11-08
1931,Jennifer,Cross,1982-02-16,91588.03,2018-07-06
1932,Mr.,Michael,1981-06-14,95956.8,2020-07-23
1933,Teresa,Morgan,1981-07-09,53081.25,2018-09-17
1934,Daniel,Austin,1998-06-07,6644.45,2019-02-25
1935,Brenda,Phillips,1985-05-30,80014.98,2019-09-21
1936,Jeffery,Walker,1990-07-12,84607.99,2019-08-18
1937,Mrs.,Jeanne,1985-09-10,58611.85,2020-03-26
1938,Katie,Webb,1986-07-18,82251.04,2020-08-16
1939,Craig,Thompson,1992-09-15,35247.5,2018-12-17
1940,Hannah,Burns,1978-07-03,6606.1,2021-03-30
1941,Kevin,Martin,1995-04-27,30007.65,2021-12-20
1942,Dale,Gordon,1980-01-04,2421.42,2018-03-09
1943,Donna,Adams,1985-02-26,78252.9,2021-05-09
1944,Maureen,Goodwin,1985-05-02,97953.06,2020-05-06
1945,Brooke,Miller,1993-06-13,4489.11,2020-03-06
1946,Samantha,Diaz,1997-07-31,25498.33,2019-09-24
1947,Katherine,Burns,1991-01-17,32589.04,2020-07-08
1948,Matthew,Smith,1984-09-28,85100.82,2020-07-15
1949,David,May,1993-06-21,15251.08,2018-12-02
1950,Charles,Armstrong,1985-11-13,56161.64,2021-04-09
1951,Angela,Green,1977-10-09,43837.2,2020-07-06
1952,Jennifer,Wilson,1985-04-08,40791.51,2019-12-08
1953,Jeffrey,Barnett,1979-08-17,98873.27,2019-04-26
1954,Robert,Garner,1985-01-11,86113.31,2018-02-26
1955,Michael,Dillon,1995-10-18,68330.74,2020-06-10
1956,Lisa,Williams,1995-05-24,95014.73,2018-10-21
1957,Kimberly,Mckinney,1981-05-29,91274.86,2021-01-27
1958,Michaela,Smith,1978-12-31,676.63,2018-09-08
1959,Samuel,Wiggins,1980-09-19,59379.73,2019-02-23
1960,Janet,Blankenship,1989-01-25,89523.38,2021-09-09
1961,Amy,Wade,1988-04-05,30667.77,2020-06-03
1962,Michael,Strickland,1999-05-16,71596.35,2020-01-05
1963,Ann,Andrade,1996-03-24,62803.9,2021-09-09
1964,Brittany,Clark,1991-08-08,27232.0,2019-03-25
1965,David,Allison,1977-04-15,59391.17,2020-10-28
1966,Donna,Walters,1980-01-30,35827.32,2020-01-04
1967,Jennifer,Pratt,1977-07-07,78663.59,2018-05-10
1968,Stephanie,Turner,1990-03-01,47399.0,2019-09-15
1969,Alyssa,Fisher,1987-07-24,37479.5,2019-10-08
1970,Joshua,Charles,1987-12-27,25461.78,2019-12-21
1971,Cassandra,Washington,1991-11-13,92450.79,2020-12-03
1972,Ryan,Lamb,1986-10-13,41882.29,2020-08-10
1973,Cathy,Schneider,1979-04-08,52581.64,2020-10-14
1974,Greg,Russell,1999-12-09,8568.63,2018-10-16
1975,David,Preston,2000-04-25,96564.2,2021-01-27
1976,Kimberly,Jackson,1980-04-05,42693.37,2020-07-29
1977,Katherine,Fry,1995-09-09,11083.47,2020-11-08
1978,Nicholas,Good,1986-03-06,88748.81,2021-05-31
1979,Kelly,Hill,1998-04-08,10643.14,2020-05-13
1980,Casey,Carter,1986-04-08,13357.4,2021-04-14
1981,Jessica,Dyer,1977-06-19,9515.11,2021-12-10
1982,Samuel,Murphy,1977-09-20,92241.22,2021-08-15
1983,Emily,Powell,1990-05-07,68023.26,2019-10-10
1984,Stephanie,Griffin,1985-02-28,12848.01,2018-05-05
1985,Joseph,Flores,1978-10-27,67069.59,2020-04-14
1986,Timothy,Contreras,1977-10-08,7923.24,2018-09-06
1987,Sydney,Johnson,1995-10-03,5991.25,2021-08-15
1988,Catherine,Lester,1999-12-22,49103.29,2020-05-20
1989,John,Butler,1996-03-21,76893.97,2020-01-02
1990,Zachary,Jackson,1981-10-06,49807.25,2019-12-15
1991,Nicholas,Maxwell,1991-01-16,12986.43,2018-08-03
1992,Joanna,Young,1980-08-04,57770.06,2021-04-15
1993,William,Nunez,1989-08-18,39489.62,2019-02-20
1994,Michelle,Taylor,1979-09-21,32438.7,2020-05-28
1995,Robert,Robinson,1992-06-06,8096.82,2019-04-04
1996,Diana,Haley,1992-10-10,2565.05,2021-09-05
1997,Andrew,Acevedo,1980-06-16,44397.26,2019-07-23
1998,Janice,Collins,1984-01-15,8443.01,2020-03-23
1999,Robert,Diaz,1997-07-20,9268.8,2021-06-25
2000,Michelle,Rogers,1977-02-16,69193.26,2018-02-17
2001,David,Walker,1998-07-01,32006.8,2020-10-22
2002,Heather,Gallagher,1990-01-05,58594.8,2021-09-12
2003,Pedro,Long,1982-07-08,66927.95,2018-11-23
2004,Ashley,Santos,1980-05-07,41955.56,2019-09-01
2005,Kenneth,Stewart,1992-04-18,616.2,2019-07-03
2006,Tanya,Mitchell,1997-01-04,35214.43,2021-03-05
2007,Victoria,Reyes,1987-04-21,92034.62,2021-04-05
2008,Joy,Gillespie,1981-01-12,80228.49,2021-02-26
2009,Jared,Gonzales,1979-05-08,46889.64,2018-10-11
2010,Michael,Walsh,1995-05-14,15667.43,2018-10-15
2011,Matthew,Myers,1984-03-03,35738.09,2019-05-05
2012,Kimberly,Jackson,1996-12-20,74760.46,2019-08-02
2013,Angela,Phillips,1992-09-14,5945.55,2020-07-08
2014,Vincent,Cooper,1984-08-21,83148.2,2018-10-02
2015,Luis,Elliott,1987-12-27,84252.44,2018-03-20
2016,Heather,Bell,1981-11-20,38978.43,2020-05-28
2017,Rachel,Wilson,1983-10-15,21723.23,2020-02-22
2018,John,Bryant,1983-08-22,63398.0,2018-01-27
2019,Christine,Brown,1997-03-25,99694.28,2021-03-06
2020,Allison,Hall,1997-01-03,30108.91,2019-03-21
2021,Shawn,Avery,1993-06-17,40281.68,2018-09-13
2022,Suzanne,Guzman,1981-01-19,13973.62,2020-05-01
2023,David,Carter,1984-05-26,32462.2,2021-12-23
2024,Elizabeth,Buchanan,1996-06-10,65311.85,2018-02-25
2025,Sarah,Harris,1994-08-20,58849.4,2021-10-18
2026,Tanya,Cole,1993-06-01,70669.85,2019-02-21
2027,Patrick,Shields,1982-11-01,86234.95,2021-08-27
2028,Tracey,Gonzalez,1994-04-17,32230.46,2018-10-20
2029,Victoria,Maxwell,1997-06-18,1589.75,2019-05-03
2030,Holly,Herring,1994-06-12,22854.32,2018-05-13
2031,James,Hays,1998-12-03,87923.14,2019-04-24
2032,Julie,Rodriguez,1986-04-05,16436.21,2021-03-19
2033,April,Scott,1986-11-14,13598.3,2018-03-24
2034,Christopher,Nunez,1987-10-26,47700.8,2021-03-28
2035,Frank,Butler,1983-05-16,79294.84,2018-02-17
2036,James,Clark,1977-03-08,47998.59,2021-10-20
2037,Deborah,Freeman,1997-06-04,84365.04,2021-11-15
2038,James,Davis,1990-03-29,86054.9,2019-06-04
2039,Brian,Rhodes,1979-10-01,87886.82,2021-12-26
2040,Mark,Woods,1977-12-05,37771.65,2020-04-23
2041,Jaime,Turner,1979-05-29,62891.71,2018-05-31
2042,Jorge,Hall,1992-12-10,25168.61,2021-09-30
2043,Timothy,Williams,2000-04-09,6708.65,2020-01-29
2044,Jennifer,Ramirez,1977-09-29,80804.41,2021-05-22
2045,Derrick,Sanders,1999-05-31,81891.48,2020-09-07
2046,Melinda,Nelson,1988-07-27,88441.58,2020-06-01
2047,Jessica,Ferguson,1982-06-27,46644.34,2020-09-18
2048,John,Deleon,1989-12-19,37745.35,2018-04-29
2049,Christina,Jenkins,1977-12-17,9096.53,2018-07-07
2050,Bradley,Hall,1989-05-13,24003.29,2019-01-11
2051,Douglas,Nelson,1990-10-25,85947.97,2019-02-04
2052,Susan,Johnson,1999-12-07,99637.6,2018-07-04
2053,Amy,Yu,1980-08-04,2716.07,2019-10-23
2054,Dr.,Eric,1997-02-01,94567.48,2020-04-28
2055,Jeffrey,Haas,1997-07-17,98973.91,2020-03-19
2056,Kimberly,Powell,1992-07-21,31598.32,2018-10-18
2057,Paul,Dyer,1993-04-15,86510.53,2018-02-20
2058,Adam,Nelson,1995-10-01,36253.25,2021-09-27
2059,Jon,Wood,1984-12-30,9222.76,2018-08-21
2060,Dr.,Brian,1985-09-08,8458.06,2019-05-16
2061,Matthew,Cantrell,1982-06-19,98403.04,2019-05-02
2062,Rose,Wheeler,1999-02-11,48320.39,2018-11-30
2063,Matthew,Buck,1991-02-19,99304.78,2019-01-13
2064,Theresa,Allen,1993-04-10,80360.35,2021-07-28
2065,Bridget,Lopez,1996-10-23,81528.77,2020-04-02
2066,Rebecca,Rodriguez,1981-03-21,5059.54,2020-08-09
2067,Jeffrey,Alexander,1984-03-03,17823.27,2021-07-10
2068,Wendy,Adkins,1991-01-25,60256.97,2021-06-29
2069,Matthew,Green,1990-02-16,24552.42,2018-12-10
2070,Jennifer,Caldwell,1994-05-14,57050.75,2018-11-04
2071,Matthew,Howell,1995-08-07,50137.41,2021-09-26
2072,Rachel,Johnston,1994-06-25,24277.08,2019-02-12
2073,Tracy,Anderson,1992-06-13,2908.54,2020-06-28
2074,Allison,Brown,1993-07-07,61123.37,2018-04-21
2075,Jamie,Cervantes,1989-05-21,4068.89,2018-11-29
2076,Paula,Contreras,1997-08-08,36533.69,2018-09-06
2077,Dr.,Jermaine,1979-03-06,69938.69,2020-11-14
2078,Jeffrey,Miller,1979-09-19,34159.93,2021-09-14
2079,Maria,Petersen,1999-01-28,85815.82,2020-03-24
2080,William,Nguyen,1978-11-26,15678.51,2019-05-24
2081,Hailey,Rodriguez,1984-11-21,78064.45,2020-05-20
2082,Adriana,Richardson,1978-09-04,43084.16,2018-03-19
2083,William,Joyce,1998-08-31,85692.53,2019-06-21
2084,Amy,Ferguson,1985-12-27,9700.4,2020-01-17
2085,Melissa,Richardson,1992-06-15,35189.95,2020-02-03
2086,Kiara,Harvey,1982-07-04,25248.77,2019-02-25
2087,Tiffany,Sims,1996-12-08,42886.46,2020-05-10
2088,Julie,Anderson,1999-08-08,6077.69,2018-03-01
2089,Sarah,Gonzalez,1996-10-23,30208.99,2021-10-04
2090,Jason,Ramos,1997-11-15,19439.1,2020-03-31
2091,Megan,Munoz,1995-10-24,92132.59,2020-09-26
2092,Luis,Robinson,1998-02-08,37128.07,2019-04-25
2093,Stephanie,Patterson,1993-01-17,47187.75,2020-05-06
2094,Katie,Robinson,2000-01-16,11722.2,2020-10-08
2095,James,Elliott,1985-10-23,60549.22,2019-08-16
2096,Kevin,Byrd,1979-11-27,75573.72,2021-10-01
2097,Lisa,Preston,1990-04-14,22124.37,2020-07-29
2098,Julie,Rodriguez,1977-01-30,59163.66,2018-12-09
2099,John,Daniels,1990-10-28,97722.78,2018-12-10
2100,Tina,Bradley,1990-03-30,94100.62,2018-03-30
2101,Sharon,Nguyen,1977-02-18,23862.03,2018-08-12
2102,Lawrence,White,1977-12-25,98486.7,2021-11-11
2103,Martha,Jones,1987-10-15,75705.22,2018-07-15
2104,Laura,Cameron,1989-01-21,58721.43,2020-01-22
2105,Faith,Palmer,1983-03-14,8010.07,2019-08-16
2106,Theresa,Savage,1997-03-21,27422.82,2020-12-26
2107,Alexis,Smith,1977-09-27,92864.32,2020-03-19
2108,Luke,Chavez,1980-10-24,78620.79,2018-05-25
2109,Amy,Brown,1979-07-14,30844.56,2021-10-23
2110,Robert,Robinson,1998-05-26,83804.73,2019-05-24
2111,Deborah,Vega,1980-03-02,8240.24,2020-03-29
2112,Emily,Smith,1977-09-27,79824.94,2018-03-05
2113,Rachel,Griffin,1980-04-13,56765.53,2018-11-22
2114,Rachel,Martinez,1983-01-09,87424.06,2019-06-20
2115,Melissa,Barber,1989-01-06,36216.39,2021-09-07
2116,Miss,Vanessa,2000-01-26,21126.28,2018-01-15
2117,Kathleen,Murray,1981-08-09,77119.06,2020-04-07
2118,Jeremy,Gibson,1994-05-21,50001.11,2019-02-16
